wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
10383,15-Sep-93,29-May-94,29-May-94,5,29,1994,,,256,256,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,F,,5.043835616,1841,,,,1993-94,
10392,1-Aug-89,5-May-97,5-May-97,5,5,1997,,,2834,2834,legal,5,1,,,0,legal,0,0,1,0,0,,1,1,,,0,M,,8.02739726,2930,,,,1996-97,
10393,1-Aug-89,24-Jan-90,24-Jan-90,1,24,1990,,,176,176,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,F,,0.745205479,272,,,,1989-90,
10394,1-Aug-89,23-Mar-97,23-Mar-97,3,23,1997,,,2791,2791,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,F,,7.909589041,2887,,,,1996-97,
10397,17-Sep-90,12-Oct-90,12-Oct-90,10,12,1990,,,25,25,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,M,,0.509589041,186,,,,1990-91,
10398,17-Sep-90,14-Oct-90,14-Oct-90,10,14,1990,,,27,27,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,F,,0.515068493,188,,,,1990-91,
10399,17-Sep-90,,12-Oct-90,10,12,1990,12-Oct-90,25,,25,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,1,F,0,,,186,,,1989-90,
10408,23-Aug-93,26-Aug-94,26-Aug-94,8,26,1994,,,368,368,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,F,,4.380821918,1599,,,,1993-94,
10426,3-Oct-90,15-Jul-91,15-Jul-91,7,15,1991,,,285,285,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,M,,1.202739726,439,,,,1990-91,
10430,3-Oct-90,18-May-92,18-May-92,5,18,1992,,,593,593,unknown,3,,,,0,unknown,0,1,0,0,0,,0,1,,1,0,F,,2.046575342,747,,,,1991-92,
